magpie.coop,Magpie Recycling Co op,BN2 4AY,magpie.lod.coop,,,
maidenergy.coop,MaidEnergy,SL6 4PF,maidenergy.lod.coop,,,
malvernbook.coop,Malvern Book Co-operative,WR14 4RG,malvernbook.lod.coop,,,
manufacturing.coop,Cranfield University,MK43 0AL,manufacturing.lod.coop,,,
mbm.coop,mbm co-operative services,SE100FF,mbm.lod.coop,,,
mc3.coop,Mitchell Coxan Creative Communications LLP (MC3),HD7 5XD,mc3.lod.coop,,,
mediablazehosts.coop,MediaBlaze Hosting Limited,TN27 0JA,mediablazehosts.lod.coop,,,
mica.coop,Mica DIY Ltd,ST15 8LQ,mica.lod.coop,,,
midcounties.coop,Midcounties Cooperative,CV34 6DA,midcounties.lod.coop,,,
mim.coop,Made in Morocco Coop LTD,BS32 8AX,mim.lod.coop,,,
mongooseenergy.coop,Mongoose Energy,SN13 9TZ,mongooseenergy.lod.coop,,,
naco.coop,National Association of Co-operative Officials,SK14 2QZ,naco.lod.coop,,,
naturalfoodstore.coop,Natural Food Store Limited,LS6 3AD,naturalfoodstore.lod.coop,,,
netuxo.coop,Netuxo Ltd,N1 6AH,netuxo.lod.coop,,,
networks.coop,Cooperative Networks,HD7 5XD,networks.lod.coop,,,
newera.coop,New Era Enterprises (E.Lancs) Ltd,BB11 3BT,newera.lod.coop,,,
newharmonypress.coop,New Harmony Press Limited,LE1 6WT,newharmonypress.lod.coop,,,
news.coop,Co-operative Press,M600AS,news.lod.coop,,,
nfpc.coop,NFPC,NE7 7ST,nfpc.lod.coop,,,
nightingale.coop,Nightingale Primary Academy,LS8 5HS,nightingale.lod.coop,,,
norwichcommunitysolar.coop,Norwich Community Solar,NR3 4TL,norwichcommunitysolar.lod.coop,,,
norwichmustard.coop,Norwich Mustard,NR18 9SS,norwichmustard.lod.coop,,,
oakwood.coop,Oakwood Primary Academy,LS8 3LZ,oakwood.lod.coop,,,
oastwood.coop,Oast Wood Housing Co-operative Limited,SE1 4YR,oastwood.lod.coop,,,
ocu.coop,Oxfordshire Credit Union,BS5 0HE,ocu.lod.coop,,,
ocu.coop,Oxfordshire Credit Union,UB3 1PE,ocu.lod.coop,,,
olan.coop,Olan Housing Co-operative Limited,SE4 1HP,olan.lod.coop,,,
oneblackpool.coop,One Blackpool Ltd,FY4 1SH,oneblackpool.lod.coop,,,
oneplanet.coop,One Planet (Accrington) Ltd,BB5 1EE,oneplanet.lod.coop,,,
opendataservices.coop,Open Data Services Co-operative Limited,BN3 2FN,opendataservices.lod.coop,,,
openspace.coop,Ecobee Ltd,M16 8GB,openspace.lod.coop,,,
orchard.coop,Orchard Community Energy Ltd.,SN13 9TZ,orchard.lod.coop,,,
ourtrust.coop,OUR Co-operative Academy Trust,GL4 0RT,ourtrust.lod.coop,,,
outlandish.coop,Outlandish Co-operative,CR2 6QA,outlandish.lod.coop,,,
p4c.coop,P4C.com Limited,DE23 6JG,p4c.lod.coop,,,
parallaxphotographic.coop,Parallax Photographic,SW9 8LA,parallaxphotographic.lod.coop,,,
party.coop,The Co operative Party,BB1 5RR,party.lod.coop,,,
partyni.coop,The CG NI Co-op Party,BT66 6AJ,partyni.lod.coop,,,
peloton.coop,Peloton Liverpool,L13 9AF,peloton.lod.coop,,,
penrith.coop,Penrith Co-operative Society,CA11 7TD,penrith.lod.coop,,,
pfg.coop,Power for Good Cooperative Ltd,B73 6LD,pfg.lod.coop,,,
pioneerawards.coop,The Cooperative Group Food Limited,M15 4FN,pioneerawards.lod.coop,,,
pioneercu.coop,Pioneer Mutual Credit Union Ltd.,G78 1SG,pioneercu.lod.coop,,,
platform6.coop,Mitchell Coxan Creative Communications LLP,HD7 5JN,platform6.lod.coop,,,
plymouth.coop,Co-operative Party (Plymouth branch),PL1 2AQ,plymouth.lod.coop,,,
populate.coop,Populate Co-operative,OX4 1PY,populate.lod.coop,,,
positivenews.coop,Positive News Limited,EC1V 1NQ,positivenews.lod.coop,,,
preciouskids.coop,Precious Kids Day Nursery,E1 5HZ,preciouskids.lod.coop,,,
principle5.coop,Principle 5 (Yorkshire Co-operative Resource Centre) Limited,S3 8GG,principle5.lod.coop,,,
principlesix.coop,Principle Six LLP,E2 9DT,principlesix.lod.coop,,,
publicaffairs.coop,Public Affairs Co-operative Ltd,PH2 8AH,publicaffairs.lod.coop,,,
r-eco.coop,The Renewable Energy Co-operative,TR4 8RJ,r-eco.lod.coop,,,
radstock.coop,Radstock Cooperative Society,BA3 3RQ,radstock.lod.coop,,,
rch.coop,Redditch Co-operative Homes,B97 6HD,rch.lod.coop,,,
readingenergy.coop,Reading Community Energy,LA14 2PN,readingenergy.lod.coop,,,
regather.coop,Regather Co-Operative Limited,S11 8BU,regather.lod.coop,,,
revolver.coop,Revolver Co-operative Ltd,WV2 3JA,revolver.lod.coop,,,
rhizome.coop,Rhizome Ltd.,LE2 1TJ,rhizome.lod.coop,,,
riceup.coop,Riceup Wholefoods Limited,SO14 1JX,riceup.lod.coop,,,
ricol.coop,Ricol,N3 3HN,ricol.lod.coop,,,
righttobuy.coop,Right to Buy Co-op Ltd.,BB6 8AY,righttobuy.lod.coop,,,
righttobuyhelpline.coop,Righttobuyhelpline.coop Ltd,M40 3LY,righttobuyhelpline.lod.coop,,,
rochdalepioneersmuseum.coop,Rochdale Pioneers Museum,OL12 0NU,rochdalepioneersmuseum.lod.coop,,,
rumblingbridgehydro.coop,Rumbling Bridge Community Hydro Society Ltd.,LA14 2PN,rumblingbridgehydro.lod.coop,,,
saos.coop,Scottish Agricultural Organisation Society Ltd,EH28 8NZ,saos.lod.coop,,,
sat.coop,Sundorne School & The Grange School Cooperative Trust,SY1 4LL,sat.lod.coop,,,
saveourbank.coop,ECRA,M15 5RF,saveourbank.lod.coop,,,
savetheearth.coop,Save The Earth Cooperative,NG35JU,savetheearth.lod.coop,,,
scbc.coop,South Acton Community Builders Co-operative Ltd,W3 8RT,scbc.lod.coop,,,
scotmid.coop,Scottish Midland Co-operative Society Ltd,EH28 8QJ,scotmid.lod.coop,,,
scottishfarmcarbon.coop,Scottish Farm Carbon Limited,AB54 4XR,scottishfarmcarbon.lod.coop,,,
scottishpigs.coop,Scottish Pig Producers,AB54 8DG,scottishpigs.lod.coop,,,
scotwest.coop,Scotwest Credit Union Limited,G2 4PB,scotwest.lod.coop,,,
secod.coop,Social Enterprise and Co-operative Development Ltd,CA7 5AF,secod.lod.coop,,,
secs.coop,South East Co-operative Support,SO14OAE,secs.lod.coop,,,
secure.coop,Secure Active CIC,E8 3DY,secure.lod.coop,,,
ses.coop,Sustainable Enterprise Strategies CIC,SR2 8AH,ses.lod.coop,,,
sharenergy.coop,Sharenergy,SY1 2DP,sharenergy.lod.coop,,,
skye.coop,Isle of Skye Renewables Co-operative,LA14 2PN,skye.lod.coop,,,
slcu.coop,Scottish League of Credit Unions,G33 9BN,slcu.lod.coop,,,
sleuth.coop,Sleuth Co op Limited,N11 2AS,sleuth.lod.coop,,,
societygrapevine.coop,International Exhibition Co-operative Wine Society,SG1 2BG,societygrapevine.lod.coop,,,
software.coop,Turo Technology LLP,BS22 9XY,software.lod.coop,,,
solidarityeconomy.coop,Solidarity Economy Association,OX4 1JE,solidarityeconomy.lod.coop,,,
solidfund.coop,Worker Co-operative Solidarity Fund (SolidFund),BS2 8PE,solidfund.lod.coop,,,
solutions.coop,Co-operative Solutions LLCP,NN1 4PB,solutions.lod.coop,,,
somerset.coop,Somerset Co-op Services CIC,TA1 3EW,somerset.lod.coop,,,
southdownseco.coop,South Downs Eco Housing Co-operative,BN1 6GG,southdownseco.lod.coop,,,
southern.coop,Southern Co operatives,PO167BN,southern.lod.coop,,,
spiritoflanarkshire.coop,The Spirit of Lanarkshire Wind Energy Co-operative Limited,LA14 2PN,spiritoflanarkshire.lod.coop,,,
spl.coop,Speciality Produce Limited,PE20 3LR,spl.lod.coop,,,
stb.coop,Sir Thomas Boughey Co-operative Business and Enterprise College,ST7 8AP,stb.lod.coop,,,
stcleres.coop,St Clere's Co-operative Academy Trust,SS17 0NW,stcleres.lod.coop,,,
stitchedup.coop,Stitched Up Co-operative Ltd,M21 0UF,stitchedup.lod.coop,,,
students.coop,Students For Cooperation,B29 7PX,students.lod.coop,,,
success.coop,Success (North East),DL16 6JY,success.lod.coop,,,
suma.coop,SUMA Foods,HX59DB,suma.lod.coop,,,
supporters-direct.coop,Supporters Direct,WC1B 4SE,supporters-direct.lod.coop,,,
swcs.coop,South West Co-operative Support Limited,BS2 8QN,swcs.lod.coop,,,
tamworth.coop,Tamworth Co operative Society Limited,B79 7HJ,tamworth.lod.coop,,,
tdic.coop,TDIC,OL6 6NX,tdic.lod.coop,,,
tenantsfirst.coop,Sanctuary Housing Association,WR1 3ZQ,tenantsfirst.lod.coop,,,
thecareandwellbeing.coop,Perthshire Care &amp; Wellbeing Co-operative Limited,PH13 9PN,thecareandwellbeing.lod.coop,,,
thecontractor.coop,The Contractor Co-operative Limited,WC1V 6AZ,thecontractor.lod.coop,,,
thedrive.coop,The Drive Housing Co-operative Ltd,E17 3BW,thedrive.lod.coop,,,
thefuel.coop,The Fuel Co-op,BN8 5UR,thefuel.lod.coop,,,
thegreenoffice.coop,THE GREEN OFFICE CO-OP CIC,CF31 3YH,thegreenoffice.lod.coop,,,
thehandmadebakery.coop,The Handmade Bakery (Marsden) Ltf,HD7 6AJ,thehandmadebakery.lod.coop,,,
thekitchen.coop,Lakamka Limited,BL3 5JW,thekitchen.lod.coop,,,
thenews.coop,Co operative Press,M600AS,thenews.lod.coop,,,
thephone.coop,The Phone Co op Limited,OX7 5XL,thephone.lod.coop,,,
theservice.coop,The Service Communications Ltd,WC1X 9NG,theservice.lod.coop,,,
thewarehouse.coop,Friends of the Earth (Birmingham) Ltd,B5 5TH,thewarehouse.lod.coop,,,
